date,page,channel,sessions,page_views,bounce_rate,avg_session_duration_sec,conversions
2024-01-01,Homepage,Organic,1250,3200,0.42,185,38
2024-01-01,Pricing,Paid,430,890,0.31,240,52
2024-01-01,Blog,Social,820,2100,0.58,145,12
2024-01-02,Homepage,Organic,1180,3050,0.44,178,35
2024-01-02,Pricing,Paid,510,1020,0.29,255,61
2024-01-02,Blog,Social,760,1980,0.60,138,9
2024-01-03,Homepage,Organic,980,2560,0.46,172,28
2024-01-03,Pricing,Email,390,780,0.27,270,48
2024-01-03,Features,Organic,640,1450,0.39,210,31
2024-02-01,Homepage,Organic,1380,3540,0.41,190,42
2024-02-01,Pricing,Paid,580,1160,0.28,260,70
2024-02-01,Blog,Social,910,2300,0.56,152,15
2024-02-15,Homepage,Organic,1490,3800,0.39,198,48
2024-02-15,Pricing,Paid,620,1240,0.26,272,76
2024-02-15,Features,Email,340,720,0.33,225,29
2024-03-01,Homepage,Organic,1620,4100,0.38,202,55
2024-03-01,Pricing,Paid,700,1400,0.25,281,88
2024-03-01,Blog,Social,1050,2650,0.54,158,18
2024-03-15,Homepage,Organic,1750,4420,0.37,208,61
2024-03-15,Pricing,Paid,760,1520,0.24,290,96
2024-04-01,Homepage,Organic,1820,4600,0.36,212,65
2024-04-01,Pricing,Paid,810,1620,0.23,298,103
2024-04-01,Blog,Social,1120,2820,0.52,162,21
2024-05-01,Homepage,Organic,1950,4900,0.35,218,72
2024-05-01,Pricing,Paid,870,1740,0.22,305,112
2024-06-01,Homepage,Organic,2100,5280,0.33,224,80
2024-06-01,Pricing,Paid,940,1880,0.21,315,121
2024-06-01,Blog,Social,1280,3200,0.50,168,25
